site_ver,table_id,game_name,game_id,start,end,concede,unranked,normalend,players,player_names,scores,ranks,elo_win,elo_penalty,elo_after,arena_win,arena_after
221130-1000,322771961,hanabi,1015,1669946017,1669947453,0,0,1,"84957825,93258705,93294330,93314519","Slava kw,DreamerUA,RefZz,being_kinder","21,21,21,21","1,1,1,1",1,,1505,,1.1500
221130-1000,322765517,hanabi,1015,1669944238,1669945912,0,0,1,"84957825,93258705,93294330,93314519","Slava kw,DreamerUA,RefZz,being_kinder","22,22,22,22","1,1,1,1",4,,1504,,1.1500
221130-1000,322763163,hanabi,1015,1669942802,1669944111,0,0,1,"84957825,93258705,93294330,93314519","Slava kw,DreamerUA,RefZz,being_kinder","0,0,0,0","1,1,1,1",-10,,1500,,1.1500
221130-1000,322459059,hanabi,1015,1669852085,1669854671,0,0,1,"93258705,93314519","DreamerUA,being_kinder","28,28","1,1",9,,1510,,1.1500
221130-1000,322458364,hanabi,1015,1669850535,1669852012,0,0,1,"93258705,93314519","DreamerUA,being_kinder","0,0","1,1",-9,,1501,,1.1500
221130-1000,322446435,hanabi,1015,1669848020,1669850477,0,0,1,"93258705,93314519","DreamerUA,being_kinder","26,26","1,1",8,,1510,,1.1500
221130-1000,322448833,hanabi,1015,1669847536,1669847948,0,0,1,"93258705,93314519","DreamerUA,being_kinder","0,0","1,1",-10,,1502,,1.1500
221130-1000,322427258,hanabi,1015,1669844399,1669847453,0,0,1,"93258705,93314519","DreamerUA,being_kinder","0,0","1,1",-9,,1512,,1.1500
221130-1000,322414869,hanabi,1015,1669842814,1669844177,0,0,1,"93258705,93314519","DreamerUA,being_kinder","30,30","1,1",10,,1521,,1.1500
221124-1000,321521999,hanabi,1015,1669581989,1669582529,0,0,0,"93258705,93314519","DreamerUA,being_kinder","1,0","1,2",0,,1511,,1.1500
221124-1000,321526203,hanabi,1015,1669580659,1669581924,0,0,1,"93314519,93258705","being_kinder,DreamerUA","0,0","1,1",-9,,1511,,1.1500
221124-1000,321513562,hanabi,1015,1669578723,1669580277,0,0,1,"93258705,93314519","DreamerUA,being_kinder","27,27","1,1",9,,1520,,1.1500
221124-1000,321505466,hanabi,1015,1669577518,1669578654,0,0,1,"93314519,93258705","being_kinder,DreamerUA","28,28","1,1",6,,1511,,1.1500
221124-1000,321500401,hanabi,1015,1669576383,1669577466,0,0,1,"93258705,93314519","DreamerUA,being_kinder","23,23","1,1",6,,1505,,1.1500
221124-1000,321247829,hanabi,1015,1669500953,1669501537,0,0,1,"93258705,86464147","DreamerUA,medanya","23,23","1,1",6,,1499,,1.1500
221124-1000,321135262,hanabi,1015,1669473422,1669473989,0,0,1,"89700211,93258705","Divina18,DreamerUA","27,27","1,1",6,,1493,,1.1500
221124-1000,320996640,hanabi,1015,1669421992,1669423488,0,0,1,"93314519,93258705","being_kinder,DreamerUA","28,28","1,1",8,,1487,,1.1500
221124-1000,320986817,hanabi,1015,1669420855,1669421945,0,0,1,"93258705,93314519","DreamerUA,being_kinder","24,24","1,1",1,,1479,,1.1500
221124-1000,320986323,hanabi,1015,1669419480,1669420739,0,0,1,"93314519,93258705","being_kinder,DreamerUA","20,20","1,1",-8,,1478,,1.1500
221124-1000,320974199,hanabi,1015,1669418497,1669419452,0,0,0,"93258705,93314519","DreamerUA,being_kinder","1,0","1,2",0,,1486,,1.1500
221124-1000,320962035,hanabi,1015,1669414560,1669415569,0,0,1,"93258705,93314519","DreamerUA,being_kinder","24,24","1,1",8,,1486,,1.1500
221124-1000,320872173,hanabi,1015,1669393228,1669393743,0,0,1,"84917295,93258705","hokuhokutou,DreamerUA","22,22","1,1",3,,1478,,1.1500
221124-1000,320877490,hanabi,1015,1669392630,1669393201,0,0,1,"93258705,84917295","DreamerUA,hokuhokutou","23,23","1,1",5,,1475,,1.1500
221124-1000,320869778,hanabi,1015,1669392032,1669392550,0,0,1,"93258705,86254993","DreamerUA,jacotte9","24,24","1,1",6,,1470,,1.1500
221108-1000,320017985,hanabi,1015,1669133379,1669133942,0,0,1,"92906383,93258705","SinnaMuthiah,DreamerUA","21,21","1,1",5,,1464,,1.1500
221108-1000,319753677,hanabi,1015,1669055262,1669055973,0,0,1,"93258705,88960499","DreamerUA,lolodid","25,25","1,1",9,,1459,,1.1500
221108-1000,319652019,hanabi,1015,1669031045,1669031540,0,0,1,"93258705,86453578","DreamerUA,PeppeM1978","24,24","1,1",5,,1450,,1.1500
221108-1000,319650934,hanabi,1015,1669029631,1669030285,0,0,0,"89079094,93258705","chroll,DreamerUA",,,,,,,
221108-1000,319659091,hanabi,1015,1669028807,1669029606,0,0,1,"85479938,93258705","Lele710,DreamerUA","20,20","1,1",3,,1445,,1.1500
221108-1000,319551690,hanabi,1015,1668987656,1668988004,0,0,0,"93258705,93208550","DreamerUA,melsbr",,,,,,,
221108-1000,319453687,hanabi,1015,1668968264,1668968525,0,0,1,"93258705,93364153","DreamerUA,Birgit111","0,0","1,1",-9,,1442,,1.1500
221108-1000,319434036,hanabi,1015,1668963803,1668964277,0,0,1,"86012166,93258705","Galbanino22,DreamerUA","0,0","1,1",-9,,1451,,1.1500
221108-1000,319437723,hanabi,1015,1668963278,1668963774,0,0,1,"86012166,93258705","Galbanino22,DreamerUA","23,23","1,1",8,,1460,,1.1500
221108-1000,319423159,hanabi,1015,1668962484,1668963231,0,0,1,"86012166,93258705","Galbanino22,DreamerUA","0,0","1,1",-9,,1452,,1.1500
221108-1000,319290224,hanabi,1015,1668924938,1668926269,0,0,1,"93258705,93314519","DreamerUA,being_kinder","0,0","1,1",-8,,1461,,1.1500
221108-1000,319297871,hanabi,1015,1668923825,1668924903,0,0,0,"93258705,93314519","DreamerUA,being_kinder","1,0","1,2",0,,1469,,1.1500
221108-1000,319297721,hanabi,1015,1668923562,1668923781,0,0,0,"93258705,93314519","DreamerUA,being_kinder","1,0","1,2",0,,1469,,1.1500
221108-1000,319287707,hanabi,1015,1668921681,1668923524,0,0,1,"93258705,93314519","DreamerUA,being_kinder","23,23","1,1",8,,1469,,1.1500
221108-1000,319285472,hanabi,1015,1668919548,1668921536,0,0,1,"93258705,93314519","DreamerUA,being_kinder","21,21","1,1",9,,1461,,1.1500
221108-1000,319283941,hanabi,1015,1668918909,1668919444,0,0,1,"93258705,93314519","DreamerUA,being_kinder","0,0","1,1",-16,,1452,,1.1500
221108-1000,319278567,hanabi,1015,1668917233,1668918867,0,0,1,"93258705,93314519","DreamerUA,being_kinder","0,0","1,1",-16,,1468,,1.1500
221108-1000,319248687,hanabi,1015,1668905190,1668906616,0,0,1,"91368073,93258705","Mamushka21,DreamerUA","22,22","1,1",7,,1484,,1.1500
221108-1000,319247004,hanabi,1015,1668903869,1668905115,0,0,1,"91368073,93258705","Mamushka21,DreamerUA","26,26","1,1",16,,1477,,1.1500
221108-1000,319247933,hanabi,1015,1668903631,1668903790,0,0,1,"91368073,93258705","Mamushka21,DreamerUA","0,0","1,1",-18,,1461,,1.1500
221108-1000,319240840,hanabi,1015,1668902617,1668903550,0,0,1,"91368073,93258705,87217184","Mamushka21,DreamerUA,ryethriss","21,21,21","1,1,1",6,,1479,,1.1500
221108-1000,319239567,hanabi,1015,1668901725,1668902577,0,0,1,"87217184,91368073,93258705","ryethriss,Mamushka21,DreamerUA","21,21,21","1,1,1",7,,1473,,1.1500
221108-1000,319238225,hanabi,1015,1668900935,1668901625,0,0,1,"87084948,87217184,93258705","Ani-ni,ryethriss,DreamerUA","22,22,22","1,1,1",11,,1466,,1.1500
221108-1000,319179913,hanabi,1015,1668886442,1668887601,0,0,1,"93258705,91368073","DreamerUA,Mamushka21","26,26","1,1",16,,1455,,1.1500
221108-1000,319168667,hanabi,1015,1668884904,1668886105,0,0,1,"91368073,93258705","Mamushka21,DreamerUA","22,22","1,1",13,,1439,,1.1500
